project_name,buyer_name,seller_name,package_type,equipment_types,component_types,component_count,lead_time_weeks,manufacturer,cost,answer_date
Societe Generale - 2nd Floor Phase #2,Structure Tone (NY),Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,11,"[""Stulz""]",34990,2025-06-13
Societe Generale - 2nd Floor Phase #2,Structure Tone (NY),Gil Bar Inc (New York),"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,16,"[""Above Air""]",47469.5,2025-06-13
Societe Generale - 2nd Floor Phase #2,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",2,8,"[""Vertiv""]",30500,2025-06-13
Herald Towers Retail,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Shell-Type, Liquid-to-Liquid Heat Exchangers""]","[""Shell-Type, Liquid-to-Liquid Heat Exchangers""]","[""Shell-Type, Liquid-to-Liquid Heat Exchangers""]",3,11,"[""Armstrong""]",115000,2025-06-11
Herald Towers Central plant work,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Hydronic Pumps""]","[""Hydronic Pumps""]","[""Hydronic Pumps""]",6,9,"[""Armstrong""]",125000,2025-06-11
Herald Towers Central plant work,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]","[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]","[""Plate-Type, Liquid-to-Liquid Heat Exchangers""]",3,11,"[""Alfa Laval""]",208000,2025-06-11
Herald Towers Retail,Structure Tone (NY),"SRS Enterprises, Inc. (New York)","[""Hydronic Pumps""]","[""Base-Mounted, Centrifugal Hydronic Pumps"",""Hydronic Pumps"",""In-Line Centrifugal Hydronic Pumps""]","[""Base-Mounted, Centrifugal Hydronic Pumps"",""Hydronic Pumps"",""In-Line Centrifugal Hydronic Pumps""]",12,11,"[""Armstrong""]",115000,2025-06-11
Industrious - 1900 Broadway,Structure Tone (NY),Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,11,"[""Stulz""]",23860,2025-06-11
Stonemont - 554 Old Water Works Rd Old Bridge NJ,RC Anderson,Catan Equipment Sales (CES),"[""Packaged, Outdoor, Heating-Only Makeup-Air Units""]","[""Packaged, Outdoor, Heating-Only Makeup-Air Units""]","[""Packaged, Outdoor, Heating-Only Makeup-Air Units""]",4,8,"[""Cambridge Air Solutions""]",238818,2025-06-09
Industrious - 1900 Broadway,Structure Tone (NY),Liebert (Vertiv) (New York) ,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,8,"[""Vertiv""]",22500,2025-06-09
Hollywood Golf Club Renovation,Structure Tone (NY),Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",11,9,"[""Trane""]",208000,2025-06-09
"Scannell - WVT1 Project Moose,  Essex VT",RC Anderson,Trane (Long Island City),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",2,7,"[""Mitsubishi""]",1,2025-06-06
"Scannell - WVT1 Project Moose,  Essex VT",RC Anderson,Trane (Long Island City),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",11,11,"[""Trane""]",295018,2025-06-06
"Scannell - WVT1 Project Moose,  Essex VT",RC Anderson,Daikin Applied (New York),"[""Split System Air Conditioners""]","[""Split System Air Conditioners""]","[""Split System Air Conditioners""]",2,1,"[""Daikin""]",2950,2025-06-06
"Scannell - WVT1 Project Moose,  Essex VT",RC Anderson,Daikin Applied (New York),"[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]","[""Packaged Rooftop Air-Conditioning Units""]",11,21,"[""Daikin""]",559150,2025-06-06
Citizens Bank Park - Right Field Club ,LF Driscoll,Trane (Long Island City),"[""Air-Cooled, Rotary-Screw Water Chillers""]","[""Air-Cooled, Rotary-Screw Water Chillers""]","[""Air-Cooled, Rotary-Screw Water Chillers""]",1,37,"[""Trane""]",469000,2025-06-05
Novartis IDF Room,Structure Tone (NY),Mechanical X Advantage,"[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]","[""Computer-Room Air-Conditioners""]",1,11,"[""Stulz""]",23940,2025-06-04
First Energy-Dover Richboynton Service Center HVAC Upgrades,Structure Tone (NY),Trane (Long Island City),"[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]","[""Dedicated Outdoor-Air Units""]",1,16,"[""Trane""]",71500,2025-06-03
