id,level,component_type,csiCode,description,tree_path
e6fe8a2b-6007-4a0f-b3f1-4867e866d714,0,Electrical,26 00 00,Electrical Systems,Electrical
364a2719-2ce1-4089-8df2-fbf56785e5ff,1,"    Data Center Power Infrastructure",26 46 00,Data Center Power Systems,Electrical > Data Center Power Infrastructure
64108d13-acc3-41f1-b3a6-4df52c61baad,2,"        Busway Systems",26 46 13,Data Center Busway,Electrical > Data Center Power Infrastructure > Busway Systems
9045dda4-f10e-4e52-ba8b-97787ac9d238,3,"            Overhead Busway",26 46 13.13,Overhead Power Distribution,Electrical > Data Center Power Infrastructure > Busway Systems > Overhead Busway
171cb150-56c9-4b13-8b3f-42c2fa11f7bd,3,"            Under-Floor Busway",26 46 13.16,Under-Floor Power Distribution,Electrical > Data Center Power Infrastructure > Busway Systems > Under-Floor Busway
87a83478-9eb5-4fb4-8368-65a9794c696c,2,"        Power Distribution Units",26 46 20,Data Center PDUs,Electrical > Data Center Power Infrastructure > Power Distribution Units
6e2c4696-b726-4b73-a6ed-f9f3b44fbb5b,3,"            Basic PDUs",26 46 26,Basic Power Distribution,Electrical > Data Center Power Infrastructure > Power Distribution Units > Basic PDUs
bf64c3d3-321f-4f61-af41-55514df23d1b,3,"            Floor-Mounted PDUs",26 28 13,Floor PDU Systems,Electrical > Data Center Power Infrastructure > Power Distribution Units > Floor-Mounted PDUs
2f03e151-0abe-4fa1-8805-cc02a3910186,3,"            Intelligent PDUs",26 46 23,Smart PDU Systems,Electrical > Data Center Power Infrastructure > Power Distribution Units > Intelligent PDUs
83ae0f89-501b-4592-8775-e93e5ddae15e,3,"            Metered PDUs",26 46 29,Metered Power Distribution,Electrical > Data Center Power Infrastructure > Power Distribution Units > Metered PDUs
d2acd3f9-6c4f-4268-b99b-643b45788866,3,"            Rack-Mounted PDUs",26 28 16,Rack PDU Systems,Electrical > Data Center Power Infrastructure > Power Distribution Units > Rack-Mounted PDUs
973b270f-1b84-4ddb-96cd-61f9deb9dcbf,1,"    Facility Electrical Power Generating and Storing Equipment",26 30 00,Power Generation and Storage,Electrical > Facility Electrical Power Generating and Storing Equipment
7a2e38b5-f65c-4dc8-b02f-e916e80e2974,2,"        Battery Equipment",26 33 00,Battery Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment
d9d8ca46-308e-4621-b67f-217d4a1e468a,3,"            Batteries",26 33 13,Battery Storage Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Batteries
d1ab3c2f-a58c-44ce-96af-ffcddb8c5e72,4,"                Lead Acid Batteries",26 33 13.13,Lead Acid Battery Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Batteries > Lead Acid Batteries
f0aae783-f229-421a-9b81-b0ffc9f77d8d,4,"                Lithium-Ion Batteries",26 33 13.16,Lithium Battery Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Batteries > Lithium-Ion Batteries
93f6cfcd-f3c8-4add-9d54-5d5786407397,3,"            Battery Chargers",26 33 16,Battery Charging Systems,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Battery Chargers
2e1b3053-c181-4d85-9036-80e0702cbfc5,3,"            Battery Monitoring Systems",26 33 15,Battery Monitoring Equipment,Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Battery Monitoring Systems
7250ed37-10ea-4cf2-bdb5-174aacf9c726,3,"            Battery Units",26 33 19,"Pre-assembled battery packages containing multiple cells, mounting hardware, and integrated monitoring systems designed for specific voltage and capacity requirements.",Electrical > Facility Electrical Power Generating and Storing Equipment > Battery Equipment > Battery Units
